,1,2,3,4,5,6,7,8,9,10
1,"((-1096, 1934), (-1302, 2002), (-1166, 1853), (663.0, 1740))","((-2133, 3835), (-1225, 3923), (-324, 3694), (2696.5, 3351))","((-2180, 3762), (-887, 3925), (38, 3685), (3096.0, 3456))","((-2243, 3869), (-769, 3991), (186, 3751), (3009.5, 3376))","((-2186, 3928), (-531, 4047), (482, 3793), (2784.5, 3298))","((-2085, 3787), (-525, 3943), (868, 3850), (3752.0, 3262))","((-2059, 3791), (-1878, 3996), (-708, 3856), (2637.0, 3322))","((-2118, 3864), (-1998, 4016), (-1318, 3725), (2047.5, 3279))","((-2180, 3880), (-2054, 3930), (-1764, 3662), (1390.5, 3357))","((-7769, 14521), (-8054, 14942), (-7452, 13882), (4336.5, 12698))"
2,"((-1959, 2677), (-1814, 2742), (-3828, 2792), (-5016, 2104))","((-2095, 2939), (-878, 3004), (-1804, 2936), (-2903, 2266))","((-2841, 3923), (-983, 3987), (-2004, 3950), (-4262, 3004))","((-2834, 3974), (-760, 3896), (-1766, 4085), (-3836, 2882))","((-2794, 3918), (-565, 4001), (-676, 3986), (-2709, 2844))","((-2870, 3964), (-470, 4070), (-1118, 3999), (-2761, 2828))","((-2746, 3876), (-1895, 3997), (-3618, 3921), (-5216, 3024))","((-2745, 3877), (-2053, 4029), (-4038, 3985), (-6195, 3012))","((-2753, 3959), (-2141, 3927), (-4076, 3904), (-6320, 3029))","((-9926, 14482), (-8116, 14654), (-15846, 14417), (-24191, 11472))"
3,"((-1943, 2687), (-1847, 2713), (-3750, 2767), (-4804, 2042))","((-2857, 3857), (-1252, 4032), (-2226, 3895), (-4525, 3021))","((-2118, 2930), (-727, 2993), (-1308, 2992), (-3023, 2193))","((-2812, 3858), (-750, 3906), (-1316, 3778), (-3852, 2909))","((-2925, 3925), (-577, 4055), (-988, 4000), (-3029, 2909))","((-2880, 3942), (-550, 4080), (-1120, 4030), (-2851, 2927))","((-2859, 3837), (-1969, 4015), (-3476, 3768), (-5505, 2970))","((-2878, 3880), (-1981, 3927), (-3968, 3874), (-5435, 2983))","((-2739, 3841), (-2107, 3799), (-3996, 3922), (-6440, 3035))","((-10432, 14480), (-7948, 14666), (-15328, 14416), (-23579, 11325))"
4,"((-2041, 2759), (-1807, 2691), (-2186, 2471), (-4685, 1980))","((-2866, 3842), (-1221, 3943), (-848, 3826), (-4064, 2941))","((-2950, 3938), (-1043, 4073), (-226, 3809), (-4264, 2832))","((-2244, 2928), (-546, 3006), (-152, 2836), (-2906, 2138))","((-2943, 3941), (-523, 3945), (402, 3665), (-3230, 2898))","((-2960, 3940), (-525, 4041), (450, 3769), (-3395, 2795))","((-2867, 3877), (-1829, 3855), (-774, 3671), (-5000, 2830))","((-2861, 3857), (-2070, 3980), (-1802, 3441), (-5912, 2955))","((-2992, 4034), (-2163, 3921), (-2816, 3658), (-6841, 3077))","((-10765, 14639), (-7693, 14675), (-10864, 13658), (-24617, 11229))"
5,"((-1830, 2628), (-1730, 2784), (190, 2391), (-5026, 2170))","((-2660, 3904), (-1127, 3979), (1500, 3594), (-4648, 2763))","((-2722, 3876), (-935, 3973), (1844, 3666), (-3880, 2795))","((-2719, 3887), (-777, 3857), (1994, 3661), (-3992, 2845))","((-2055, 2909), (-372, 2914), (1858, 2833), (-2223, 2010))","((-2626, 3892), (-464, 4000), (2482, 3605), (-3526, 2750))","((-2736, 4024), (-1886, 3974), (1580, 3544), (-5140, 2847))","((-2748, 4002), (-2004, 3890), (1120, 3752), (-6032, 3039))","((-2733, 3999), (-2045, 3931), (542, 3615), (-6408, 2974))","((-9745, 14443), (-7911, 14721), (44, 12570), (-23979, 11027))"
6,"((-1950, 2624), (-1706, 2680), (-2178, 2491), (-4742, 2073))","((-2978, 3876), (-1226, 3988), (-1774, 3727), (-4785, 2830))","((-2959, 3979), (-910, 4004), (-1644, 3766), (-4391, 2806))","((-2981, 3917), (-844, 3862), (-1342, 3803), (-3924, 2808))","((-2862, 3860), (-538, 3910), (-1370, 3845), (-3835, 2828))","((-2291, 2995), (-501, 2913), (-926, 2881), (-2890, 2001))","((-2839, 3949), (-1893, 3909), (-2186, 3801), (-5240, 2876))","((-2929, 3845), (-2009, 3961), (-2766, 3735), (-5474, 2809))","((-2926, 3908), (-2075, 3847), (-3076, 3694), (-6467, 2890))","((-10464, 14406), (-7889, 14337), (-11544, 13668), (-23288, 10938))"
7,"((-2137, 2689), (-1770, 2760), (-2522, 2535), (-4723, 2085))","((-3220, 3950), (-1068, 3990), (-3064, 3778), (-4492, 2853))","((-3235, 3949), (-1005, 3951), (-2886, 3809), (-3903, 2664))","((-3252, 3952), (-909, 3961), (-2646, 3777), (-4122, 2695))","((-3211, 3893), (-629, 3831), (-2536, 3672), (-3579, 2600))","((-3232, 3940), (-606, 4008), (-2438, 3751), (-3546, 2659))","((-2524, 3014), (-1444, 2888), (-2202, 2775), (-3908, 2154))","((-3200, 3958), (-2011, 3877), (-2898, 3659), (-5658, 2796))","((-3185, 3923), (-2109, 3891), (-3820, 3788), (-6010, 2893))","((-11411, 14295), (-7788, 14666), (-14078, 13339), (-23432, 10808))"
8,"((-2197, 2731), (-1858, 2792), (-2758, 2485), (-4486, 1993))","((-3120, 3852), (-1207, 3943), (-3606, 3763), (-4886, 2716))","((-3139, 3867), (-959, 3917), (-3500, 3744), (-4372, 2665))","((-2979, 3739), (-879, 3935), (-3594, 3669), (-4204, 2731))","((-3183, 3807), (-666, 3924), (-3722, 3715), (-3657, 2612))","((-3193, 3925), (-485, 3979), (-3208, 3718), (-3659, 2588))","((-3109, 3943), (-1906, 3984), (-3194, 3757), (-4741, 2652))","((-2387, 2915), (-1518, 2900), (-2630, 2771), (-3953, 2051))","((-3147, 3989), (-2040, 3864), (-3784, 3654), (-5911, 2880))","((-11407, 14215), (-7471, 14459), (-15268, 13730), (-22266, 10546))"
9,"((-2192, 2626), (-263, 2161), (-3348, 2562), (-4308, 1908))","((-3257, 3895), (555, 3549), (-4808, 3780), (-4782, 2604))","((-3382, 3998), (495, 3335), (-4918, 3739), (-4372, 2604))","((-3223, 3859), (671, 3505), (-4680, 3854), (-4331, 2599))","((-3235, 3921), (877, 3329), (-4886, 3883), (-3812, 2518))","((-3317, 3941), (1180, 3542), (-4868, 3826), (-4017, 2518))","((-3221, 3927), (1596, 3410), (-4486, 3913), (-4895, 2505))","((-3185, 3895), (334, 2390), (-4500, 3842), (-5171, 2628))","((-2399, 2919), (-566, 2696), (-3472, 2828), (-4293, 2095))","((-11920, 14346), (-2429, 12727), (-18250, 13815), (-23354, 10371))"
10,"((-9696, 11034), (7012, 8752), (-19562, 11103), (-15905.0, 8325))","((-13424, 15592), (10072, 13812), (-26472, 15482), (-16004.5, 10877))","((-13269, 15401), (10003, 13781), (-27354, 15841), (-15732.5, 10867))","((-13344, 15494), (10339, 13905), (-27006, 15733), (-14343.0, 10793))","((-13445, 15663), (10420, 13846), (-27028, 15778), (-13734.5, 10740))","((-13396, 15540), (11055, 14211), (-27104, 15782), (-13694.5, 10700))","((-13056, 15362), (12073, 14379), (-26514, 15555), (-16950.5, 11003))","((-13115, 15457), (12246, 14586), (-26546, 15627), (-17520.5, 10939))","((-13395, 15797), (11823, 13853), (-26228, 15420), (-19525.5, 11464))","((-45708, 54004), (31193, 35521), (-90748, 53556), (-69531.0, 40603))"
